,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
215,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
216,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
217,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
218,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
219,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
220,roc_auc,binary,0.571259325,5,0.007235352,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
221,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
222,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model30,Logistic regression(Tuned),1.00E-04,1,NA,NA,NA
223,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model31,Logistic regression(Tuned),0.001,1,NA,NA,NA
224,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model31,Logistic regression(Tuned),0.001,1,NA,NA,NA
